Aula,SSID,BSSID,Intensity,Quality
q1-1013,eduroam,34:fc:b9:19:78:60,-48,89
q1-1013,UAB,34:fc:b9:19:78:61,-49,88
q1-1013,eduroam,34:fc:b9:19:78:70,-51,87
q1-1013,UAB,34:fc:b9:19:78:71,-58,85
q1-1013,eduroam,e8:26:89:78:94:b0,-60,82
q1-1013,UAB,e8:26:89:78:94:b1,-60,82
q1-1013,eduroam,e8:26:89:78:94:a0,-63,81
q1-1013,UAB,e8:26:89:78:94:a1,-63,81
q1-1013,eduroam,34:fc:b9:19:7e:60,-72,62
q1-1013,UAB,34:fc:b9:19:7e:61,-73,60
q1-1013,eduroam,34:fc:b9:19:7e:70,-76,50
q1-1013,eduroam,94:64:24:0c:bf:f0,-77,46
q1-1013,UAB,94:64:24:0c:bf:f1,-77,46
q1-1013,UAB,34:fc:b9:19:7e:71,-77,46
q1-1013,UAB,34:fc:b9:19:7f:61,-79,40
q1-1013,UAB,80:8d:b7:0c:54:41,-81,35
q1-1013,eduroam,80:8d:b7:0c:54:40,-81,35
q1-1013,UAB,80:8d:b7:0c:54:51,-83,35
q1-1013,eduroam,94:64:24:12:89:f1,-82,33
q1-1013,UAB,94:64:24:12:89:f0,-82,33
q1-1013,UAB,94:64:24:0c:08:61,-84,29
q1-1013,UAB,94:64:24:0e:bc:40,-84,29
q1-1013,UAB,34:fc:b9:19:87:60,-85,26
q1-1013,eduroam,94:64:24:0c:08:60,-85,26
q1-1013,UAB,48:00:20:94:45:b1,-86,24
q1-1013,eduroam,48:00:20:92:6c:d1,-87,22
q1-1013,UAB,48:00:20:94:2f:c1,-87,22
q1-1013,UAB,bc:9f:e4:15:e7:d0,-87,22
q1-1013,UAB,bc:9f:e4:15:e7:c0,-87,22
q1-1013,UAB,48:00:20:92:6c:d0,-88,20
q1-1013,UAB,48:00:20:94:38:90,-88,20
q1-1013,eduroam,34:fc:b9:19:82:e0,-89,18
q1-1013,UAB,48:00:20:94:45:a1,-90,16
q1-1013,eduroam,48:00:20:94:2f:c0,-91,14
q1-1013,UAB,94:64:24:14:9b:41,-92,13
q1-1013,eduroam,48:00:20:8f:83:80,-92,13
q1-1013,UAB,94:64:24:0c:cb:91,-93,11
q1-1013,UAB,48:00:20:8f:83:81,-93,11
q1-1013,eduroam,e8:26:89:78:94:b0,-50,88
q1-1013,UAB,e8:26:89:78:94:b1,-49,88
q1-1013,eduroam,34:fc:b9:19:78:70,-51,87
q1-1013,UAB,34:fc:b9:19:78:71,-53,87
q1-1013,eduroam,e8:26:89:78:94:a0,-53,86
q1-1013,eduroam,34:fc:b9:19:78:60,-54,86
q1-1013,UAB,34:fc:b9:19:78:61,-54,86
q1-1013,UAB,e8:26:89:78:94:a1,-54,86
q1-1013,eduroam,34:fc:b9:19:7e:60,-66,78
q1-1013,UAB,34:fc:b9:19:7e:61,-67,75
q1-1013,eduroam,34:fc:b9:19:7e:70,-72,62
q1-1013,UAB,34:fc:b9:19:7e:71,-72,62
q1-1013,eduroam,94:64:24:0c:bf:f0,-77,46
q1-1013,UAB,94:64:24:0c:bf:f1,-77,46
q1-1013,UAB,34:fc:b9:19:7f:61,-79,40
q1-1013,eduroam,48:00:20:92:6c:d1,-87,22
q1-1013,UAB,48:00:20:92:6c:d0,-88,20
q1-1013,UAB,48:00:20:94:38:90,-88,20
q1-1013,eduroam,e8:26:89:78:94:a0,-44,91
q1-1013,UAB,e8:26:89:78:94:a1,-44,91
q1-1013,eduroam,e8:26:89:78:94:b0,-47,90
q1-1013,UAB,e8:26:89:78:94:b1,-47,90
q1-1013,eduroam,34:fc:b9:19:78:60,-56,85
q1-1013,UAB,34:fc:b9:19:78:61,-56,85
q1-1013,eduroam,34:fc:b9:19:78:70,-59,83
q1-1013,UAB,34:fc:b9:19:78:71,-60,83
q1-1013,UAB,34:fc:b9:19:7e:61,-65,80
q1-1013,eduroam,34:fc:b9:19:7e:60,-65,80
q1-1013,eduroam,34:fc:b9:19:7e:70,-67,75
q1-1013,UAB,34:fc:b9:19:7e:71,-67,75
q1-1013,eduroam,94:64:24:0c:bf:f0,-77,46
q1-1013,UAB,94:64:24:0c:bf:f1,-77,46
q1-1013,UAB,34:fc:b9:19:7f:61,-79,40
q1-1013,UAB,34:fc:b9:19:80:80,-83,31
q1-1013,eduroam,80:8d:b7:0c:54:40,-85,26
q1-1013,UAB,94:64:24:0c:c0:11,-87,22
q1-1013,eduroam,48:00:20:92:6c:d1,-87,22
q1-1013,eduroam,94:64:24:0c:c0:10,-87,22
q1-1013,eduroam,94:64:24:0e:bc:41,-87,22
q1-1013,UAB,48:00:20:92:6c:d0,-88,20
q1-1013,eduroam,48:00:20:94:45:b0,-88,20
q1-1013,UAB,48:00:20:94:38:90,-88,20
q1-1013,eduroam,80:8d:b7:0c:54:50,-90,16
q1-1013,UAB,80:8d:b7:0c:54:51,-90,16
q1-1013,eduroam,34:fc:b9:19:7f:70,-91,14
q1-1013,eduroam,e8:26:89:78:94:b0,-46,90
q1-1013,eduroam,e8:26:89:78:94:a0,-47,90
q1-1013,UAB,e8:26:89:78:94:b1,-46,90
q1-1013,UAB,e8:26:89:78:94:a1,-47,90
q1-1013,eduroam,34:fc:b9:19:78:70,-53,86
q1-1013,eduroam,34:fc:b9:19:78:60,-63,81
q1-1013,UAB,34:fc:b9:19:78:61,-63,81
q1-1013,UAB,34:fc:b9:19:78:71,-58,81
q1-1013,eduroam,34:fc:b9:19:7e:60,-67,75
q1-1013,UAB,34:fc:b9:19:7e:61,-68,72
q1-1013,eduroam,34:fc:b9:19:7e:70,-72,62
q1-1013,UAB,34:fc:b9:19:7e:71,-72,62
q1-1013,UAB,94:64:24:0c:bf:f1,-77,46
q1-1013,UAB,34:fc:b9:19:7f:61,-79,40
q1-1013,eduroam,94:64:24:0c:bf:f0,-83,31
q1-1013,UAB,34:fc:b9:19:80:80,-83,31
q1-1013,eduroam,80:8d:b7:0c:54:40,-85,26
q1-1013,UAB,94:64:24:0c:c0:11,-87,22
q1-1013,eduroam,48:00:20:92:6c:d1,-87,22
q1-1013,eduroam,94:64:24:0c:c0:10,-87,22
q1-1013,eduroam,94:64:24:0e:bc:41,-87,22
q1-1013,UAB,48:00:20:92:6c:d0,-88,20
q1-1013,eduroam,48:00:20:94:45:b0,-88,20
q1-1013,UAB,48:00:20:94:38:90,-88,20
q1-1013,UAB,80:8d:b7:0c:54:51,-89,18
q1-1013,eduroam,80:8d:b7:0c:54:50,-90,16
q1-1013,eduroam,34:fc:b9:19:7f:70,-91,14
q1-1013,eduroam,e8:26:89:78:94:b0,-53,86
q1-1013,eduroam,34:fc:b9:19:7e:60,-54,86
q1-1013,UAB,e8:26:89:78:94:b1,-53,86
q1-1013,UAB,34:fc:b9:19:7e:61,-55,85
q1-1013,eduroam,e8:26:89:78:94:a0,-57,84
q1-1013,UAB,e8:26:89:78:94:a1,-57,84
q1-1013,eduroam,34:fc:b9:19:78:70,-58,83
q1-1013,eduroam,34:fc:b9:19:7e:70,-62,81
q1-1013,eduroam,34:fc:b9:19:78:60,-62,81
q1-1013,UAB,34:fc:b9:19:78:61,-62,81
q1-1013,UAB,34:fc:b9:19:7e:71,-63,81
q1-1013,UAB,34:fc:b9:19:78:71,-65,80
q1-1013,UAB,94:64:24:0c:bf:f1,-77,46
q1-1013,UAB,34:fc:b9:19:7f:61,-79,40
q1-1013,eduroam,80:8d:b7:0c:54:50,-81,35
q1-1013,UAB,80:8d:b7:0c:54:51,-81,35
q1-1013,eduroam,94:64:24:0c:bf:f0,-83,31
q1-1013,UAB,34:fc:b9:19:80:80,-83,31
q1-1013,eduroam,80:8d:b7:0c:54:40,-85,26
q1-1013,UAB,94:64:24:0c:c0:11,-87,22
q1-1013,eduroam,48:00:20:92:6c:d1,-87,22
q1-1013,eduroam,94:64:24:0c:c0:10,-87,22
q1-1013,eduroam,94:64:24:0e:bc:41,-87,22
q1-1013,UAB,48:00:20:92:6c:d0,-88,20
q1-1013,eduroam,34:fc:b9:19:82:f0,-88,20
q1-1013,eduroam,48:00:20:94:45:b0,-88,20
q1-1013,UAB,48:00:20:94:38:90,-88,20
q1-1013,UAB,34:fc:b9:19:82:f1,-90,16
q1-1013,eduroam,34:fc:b9:19:7f:70,-91,14
q1-1013,eduroam,48:00:20:94:2f:c0,-93,11
q2-1013,eduroam,34:fc:b9:19:7f:70,-47,90
q2-1013,eduroam,34:fc:b9:19:7f:60,-49,88
q2-1013,UAB,34:fc:b9:19:7f:61,-50,88
q2-1013,UAB,34:fc:b9:19:7f:71,-53,87
q2-1013,UAB,34:fc:b9:19:80:80,-64,80
q2-1013,UAB,94:64:24:0c:bf:f1,-69,70
q2-1013,eduroam,94:64:24:0c:c0:10,-70,67
q2-1013,UAB,94:64:24:0c:c0:11,-70,67
q2-1013,UAB,34:fc:b9:19:7c:c1,-72,62
q2-1013,eduroam,94:64:24:0c:bf:f0,-73,60
q2-1013,UAB,34:fc:b9:19:7e:61,-77,46
q2-1013,eduroam,34:fc:b9:19:80:81,-77,46
q2-1013,eduroam,34:fc:b9:19:78:60,-77,46
q2-1013,eduroam,34:fc:b9:19:80:91,-78,43
q2-1013,UAB,34:fc:b9:19:80:90,-78,43
q2-1013,UAB,80:8d:b7:0c:54:41,-78,43
q2-1013,eduroam,80:8d:b7:0c:54:40,-78,43
q2-1013,UAB,34:fc:b9:19:78:61,-78,43
q2-1013,UAB,80:8d:b7:0c:54:51,-78,43
q2-1013,eduroam,bc:9f:e4:15:e7:c1,-79,40
q2-1013,eduroam,80:8d:b7:0c:99:81,-80,38
q2-1013,eduroam,34:fc:b9:19:7c:d0,-80,38
q2-1013,UAB,80:8d:b7:0c:99:80,-81,35
q2-1013,UAB,34:fc:b9:19:7c:d1,-81,35
q2-1013,UAB,34:fc:b9:19:7f:31,-82,33
q2-1013,UAB,bc:9f:e4:15:e7:c0,-84,29
q2-1013,eduroam,34:fc:b9:19:7e:70,-84,29
q2-1013,UAB,34:fc:b9:19:7e:71,-84,29
q2-1013,eduroam,34:fc:b9:19:78:70,-85,26
q2-1013,UAB,34:fc:b9:19:78:71,-85,26
q2-1013,eduroam,34:fc:b9:19:82:d1,-86,24
q2-1013,UAB,e8:26:89:78:94:a1,-86,24
q2-1013,eduroam,34:fc:b9:19:76:c0,-87,22
q2-1013,eduroam,34:fc:b9:19:84:51,-87,22
q2-1013,UAB,34:fc:b9:19:82:d0,-87,22
q2-1013,eduroam,e8:26:89:78:94:b0,-87,22
q2-1013,UAB,e8:26:89:78:94:b1,-87,22
q2-1013,UAB,48:00:20:8f:76:31,-88,20
q2-1013,eduroam,bc:9f:e4:15:db:71,-88,20
q2-1013,eduroam,e8:26:89:78:94:a0,-88,20
q2-1013,eduroam,48:00:20:8f:83:80,-89,18
q2-1013,eduroam,34:fc:b9:19:88:00,-89,18
q2-1013,UAB,34:fc:b9:19:82:f1,-89,18
q2-1013,eduroam,80:8d:b7:0c:99:91,-90,16
q2-1013,eduroam,34:fc:b9:19:7c:c0,-90,16
q2-1013,eduroam,94:64:24:0c:08:80,-90,16
q2-1013,eduroam,34:fc:b9:19:82:f0,-90,16
q2-1013,UAB,80:8d:b7:0c:99:90,-91,14
q2-1013,UAB,34:fc:b9:19:76:c1,-91,14
q2-1013,UAB,34:fc:b9:19:82:c0,-91,14
q2-1013,eduroam,34:fc:b9:19:82:c1,-92,13
q2-1013,UAB,34:fc:b9:19:84:50,-92,13
q2-1013,eduroam,94:64:24:0e:83:10,-93,11
q2-1013,UAB,bc:9f:e4:15:db:70,-93,11
q2-1013,eduroam,34:fc:b9:19:7f:60,-41,93
q2-1013,UAB,34:fc:b9:19:7f:61,-41,93
q2-1013,UAB,34:fc:b9:19:7f:71,-49,88
q2-1013,eduroam,34:fc:b9:19:7f:70,-51,87
q2-1013,eduroam,94:64:24:0c:bf:f0,-58,83
q2-1013,UAB,34:fc:b9:19:7c:c1,-72,62
q2-1013,eduroam,94:64:24:0c:c0:10,-73,60
q2-1013,UAB,94:64:24:0c:c0:11,-73,60
q2-1013,eduroam,34:fc:b9:19:80:91,-74,57
q2-1013,UAB,34:fc:b9:19:80:90,-74,57
q2-1013,UAB,94:64:24:0c:bf:f1,-75,53
q2-1013,UAB,34:fc:b9:19:7e:61,-77,46
q2-1013,eduroam,34:fc:b9:19:78:60,-77,46
q2-1013,UAB,80:8d:b7:0c:54:41,-78,43
q2-1013,eduroam,80:8d:b7:0c:54:40,-78,43
q2-1013,eduroam,34:fc:b9:19:80:81,-78,43
q2-1013,UAB,34:fc:b9:19:80:80,-78,43
q2-1013,UAB,34:fc:b9:19:78:61,-78,43
q2-1013,UAB,80:8d:b7:0c:54:51,-78,43
q2-1013,eduroam,bc:9f:e4:15:e7:c1,-79,40
q2-1013,eduroam,80:8d:b7:0c:99:81,-80,38
q2-1013,eduroam,34:fc:b9:19:7c:d0,-80,38
q2-1013,UAB,80:8d:b7:0c:99:80,-81,35
q2-1013,UAB,34:fc:b9:19:7c:d1,-81,35
q2-1013,UAB,80:8d:b7:0c:99:90,-84,29
q2-1013,eduroam,80:8d:b7:0c:99:91,-84,29
q2-1013,eduroam,34:fc:b9:19:7e:70,-84,29
q2-1013,UAB,34:fc:b9:19:7e:71,-84,29
q2-1013,eduroam,34:fc:b9:19:82:d1,-86,24
q2-1013,eduroam,34:fc:b9:19:76:c0,-87,22
q2-1013,UAB,34:fc:b9:19:82:d0,-87,22
q2-1013,UAB,e8:26:89:78:94:b1,-87,22
q2-1013,UAB,34:fc:b9:19:78:71,-87,22
q2-1013,UAB,48:00:20:8f:76:31,-88,20
q2-1013,eduroam,bc:9f:e4:15:db:71,-88,20
q2-1013,eduroam,48:00:20:94:38:91,-89,18
q2-1013,UAB,48:00:20:94:38:90,-89,18
q2-1013,eduroam,48:00:20:8f:83:80,-89,18
q2-1013,eduroam,34:fc:b9:19:88:00,-89,18
q2-1013,UAB,34:fc:b9:19:82:f1,-89,18
q2-1013,eduroam,34:fc:b9:19:78:70,-89,18
q2-1013,UAB,e8:26:89:78:94:a1,-89,18
q2-1013,eduroam,48:00:20:92:6c:d1,-90,16
q2-1013,eduroam,34:fc:b9:19:7c:c0,-90,16
q2-1013,eduroam,34:fc:b9:19:82:f0,-90,16
q2-1013,UAB,34:fc:b9:19:76:c1,-91,14
q2-1013,UAB,34:fc:b9:19:82:c0,-91,14
q2-1013,eduroam,e8:26:89:78:94:b0,-91,14
q2-1013,eduroam,94:64:24:0a:48:d0,-92,13
q2-1013,eduroam,34:fc:b9:19:82:c1,-92,13
q2-1013,UAB,34:fc:b9:19:84:50,-92,13
q2-1013,eduroam,94:64:24:0e:83:10,-93,11
q2-1013,UAB,bc:9f:e4:15:db:70,-93,11
q2-1013,eduroam,34:fc:b9:19:7f:60,-41,93
q2-1013,UAB,34:fc:b9:19:7f:61,-47,90
q2-1013,eduroam,34:fc:b9:19:7f:70,-49,88
q2-1013,UAB,34:fc:b9:19:7f:71,-54,86
q2-1013,eduroam,94:64:24:0c:c0:10,-62,81
q2-1013,UAB,94:64:24:0c:c0:11,-63,81
q2-1013,eduroam,94:64:24:0c:bf:f0,-64,80
q2-1013,UAB,94:64:24:0c:bf:f1,-64,80
q2-1013,eduroam,34:fc:b9:19:80:91,-72,62
q2-1013,UAB,34:fc:b9:19:80:90,-72,62
q2-1013,UAB,34:fc:b9:19:7e:61,-77,46
q2-1013,eduroam,34:fc:b9:19:78:60,-77,46
q2-1013,UAB,80:8d:b7:0c:54:41,-78,43
q2-1013,eduroam,80:8d:b7:0c:54:40,-78,43
q2-1013,eduroam,34:fc:b9:19:80:81,-78,43
q2-1013,UAB,34:fc:b9:19:80:80,-78,43
q2-1013,UAB,34:fc:b9:19:78:61,-78,43
q2-1013,UAB,80:8d:b7:0c:54:51,-78,43
q2-1013,eduroam,80:8d:b7:0c:99:81,-80,38
q2-1013,eduroam,34:fc:b9:19:7c:d0,-80,38
q2-1013,UAB,80:8d:b7:0c:99:80,-81,35
q2-1013,UAB,34:fc:b9:19:7c:d1,-81,35
q2-1013,eduroam,34:fc:b9:19:7e:70,-84,29
q2-1013,UAB,34:fc:b9:19:7e:71,-84,29
q2-1013,eduroam,34:fc:b9:19:82:d1,-86,24
q2-1013,UAB,34:fc:b9:19:82:d0,-87,22
q2-1013,UAB,e8:26:89:78:94:b1,-87,22
q2-1013,UAB,34:fc:b9:19:78:71,-87,22
q2-1013,UAB,48:00:20:8f:76:31,-88,20
q2-1013,eduroam,bc:9f:e4:15:db:71,-88,20
q2-1013,eduroam,48:00:20:94:38:91,-89,18
q2-1013,UAB,48:00:20:94:38:90,-89,18
q2-1013,eduroam,48:00:20:8f:83:80,-89,18
q2-1013,UAB,34:fc:b9:19:82:f1,-89,18
q2-1013,eduroam,e8:26:89:78:94:a0,-89,18
q2-1013,eduroam,34:fc:b9:19:78:70,-89,18
q2-1013,UAB,e8:26:89:78:94:a1,-89,18
q2-1013,eduroam,48:00:20:92:6c:d1,-90,16
q2-1013,eduroam,80:8d:b7:0c:99:91,-90,16
q2-1013,eduroam,34:fc:b9:19:7c:c0,-90,16
q2-1013,eduroam,34:fc:b9:19:82:f0,-90,16
q2-1013,UAB,34:fc:b9:19:76:c1,-91,14
q2-1013,UAB,34:fc:b9:19:82:c0,-91,14
q2-1013,eduroam,e8:26:89:78:94:b0,-91,14
q2-1013,eduroam,94:64:24:0a:48:d0,-92,13
q2-1013,UAB,80:8d:b7:0c:99:90,-92,13
q2-1013,eduroam,34:fc:b9:19:82:c1,-92,13
q2-1013,eduroam,94:64:24:0e:83:10,-93,11
q2-1013,UAB,bc:9f:e4:15:db:70,-93,11
q2-1013,UAB,34:fc:b9:19:7f:61,-52,87
q2-1013,eduroam,34:fc:b9:19:7f:60,-53,86
q2-1013,UAB,34:fc:b9:19:7f:71,-60,85
q2-1013,eduroam,94:64:24:0c:c0:10,-61,82
q2-1013,eduroam,34:fc:b9:19:7f:70,-60,82
q2-1013,UAB,94:64:24:0c:c0:11,-61,82
q2-1013,eduroam,94:64:24:0c:bf:f0,-65,80
q2-1013,UAB,34:fc:b9:19:80:80,-65,80
q2-1013,UAB,94:64:24:0c:bf:f1,-66,78
q2-1013,eduroam,34:fc:b9:19:80:81,-66,78
q2-1013,eduroam,34:fc:b9:19:80:91,-69,70
q2-1013,UAB,34:fc:b9:19:80:90,-69,70
q2-1013,eduroam,34:fc:b9:19:78:60,-77,46
q2-1013,UAB,34:fc:b9:19:78:61,-78,43
q2-1013,eduroam,80:8d:b7:0c:99:81,-80,38
q2-1013,UAB,80:8d:b7:0c:99:80,-81,35
q2-1013,UAB,80:8d:b7:0c:99:90,-83,31
q2-1013,eduroam,80:8d:b7:0c:99:91,-83,31
q2-1013,eduroam,94:64:24:0e:83:10,-85,26
q2-1013,eduroam,34:fc:b9:19:82:d1,-86,24
q2-1013,eduroam,e8:26:89:78:94:a0,-86,24
q2-1013,UAB,e8:26:89:78:94:a1,-86,24
q2-1013,UAB,34:fc:b9:19:7e:61,-87,22
q2-1013,UAB,34:fc:b9:19:82:d0,-87,22
q2-1013,UAB,e8:26:89:78:94:b1,-87,22
q2-1013,UAB,34:fc:b9:19:78:71,-87,22
q2-1013,UAB,48:00:20:8f:76:31,-88,20
q2-1013,eduroam,48:00:20:94:38:91,-89,18
q2-1013,UAB,48:00:20:94:38:90,-89,18
q2-1013,eduroam,48:00:20:8f:83:80,-89,18
q2-1013,eduroam,34:fc:b9:19:78:70,-89,18
q2-1013,eduroam,48:00:20:92:6c:d1,-90,16
q2-1013,eduroam,34:fc:b9:19:7c:c0,-90,16
q2-1013,UAB,34:fc:b9:19:76:c1,-91,14
q2-1013,UAB,34:fc:b9:19:82:c0,-91,14
q2-1013,eduroam,e8:26:89:78:94:b0,-91,14
q2-1013,eduroam,94:64:24:0a:48:d0,-92,13
q2-1013,eduroam,34:fc:b9:19:82:c1,-92,13
q2-1013,eduroam,34:fc:b9:19:7f:70,-48,89
q2-1013,UAB,34:fc:b9:19:7f:71,-55,84
q2-1013,eduroam,34:fc:b9:19:7f:60,-58,83
q2-1013,UAB,34:fc:b9:19:7f:61,-60,82
q2-1013,eduroam,34:fc:b9:19:80:91,-63,81
q2-1013,UAB,34:fc:b9:19:80:90,-63,81
q2-1013,eduroam,94:64:24:0c:c0:10,-65,80
q2-1013,UAB,94:64:24:0c:c0:11,-65,80
q2-1013,eduroam,34:fc:b9:19:80:81,-71,65
q2-1013,UAB,34:fc:b9:19:80:80,-71,65
q2-1013,eduroam,94:64:24:0c:bf:f0,-76,50
q2-1013,UAB,94:64:24:0c:bf:f1,-77,46
q2-1013,eduroam,80:8d:b7:0c:99:81,-79,40
q2-1013,eduroam,94:64:24:0e:83:10,-85,26
q2-1013,UAB,34:fc:b9:19:7e:61,-87,22
q2-1013,UAB,34:fc:b9:19:78:71,-87,22
q2-1013,UAB,80:8d:b7:0c:99:90,-88,20
q2-1013,eduroam,e8:26:89:78:94:a0,-88,20
q2-1013,eduroam,48:00:20:94:38:91,-89,18
q2-1013,UAB,48:00:20:94:38:90,-89,18
q2-1013,eduroam,80:8d:b7:0c:99:91,-89,18
q2-1013,eduroam,48:00:20:8f:83:80,-89,18
q2-1013,eduroam,34:fc:b9:19:78:70,-89,18
q2-1013,UAB,e8:26:89:78:94:a1,-89,18
q2-1013,eduroam,48:00:20:92:6c:d1,-90,16
q2-1013,UAB,34:fc:b9:19:76:c1,-91,14
q2-1013,UAB,34:fc:b9:19:82:c0,-91,14
q2-1013,eduroam,e8:26:89:78:94:b0,-91,14
q2-1013,eduroam,94:64:24:0a:48:d0,-92,13
q2-1013,eduroam,34:fc:b9:19:82:c1,-92,13
q3-1011,eduroam,80:8d:b7:0c:99:81,-48,89
q3-1011,UAB,80:8d:b7:0c:99:80,-48,89
q3-1011,eduroam,80:8d:b7:0c:99:91,-51,87
q3-1011,UAB,80:8d:b7:0c:99:90,-53,86
q3-1011,eduroam,94:64:24:0e:83:10,-68,72
q3-1011,eduroam,94:64:24:0a:48:f0,-70,67
q3-1011,UAB,94:64:24:0a:48:f1,-70,67
q3-1011,UAB,94:64:24:0e:83:11,-70,67
q3-1011,UAB,34:fc:b9:19:78:61,-73,60
q3-1011,eduroam,34:fc:b9:19:7f:60,-76,50
q3-1011,UAB,34:fc:b9:19:7f:61,-77,46
q3-1011,eduroam,34:fc:b9:19:80:81,-79,40
q3-1011,eduroam,34:fc:b9:19:88:10,-80,38
q3-1011,UAB,34:fc:b9:19:88:11,-80,38
q3-1011,UAB,34:fc:b9:19:87:81,-80,38
q3-1011,eduroam,94:64:24:0e:83:30,-80,38
q3-1011,UAB,34:fc:b9:19:7e:01,-81,35
q3-1011,UAB,94:64:24:0e:83:31,-81,35
q3-1011,UAB,34:fc:b9:19:85:40,-82,33
q3-1011,eduroam,34:fc:b9:19:87:80,-82,33
q3-1011,UAB,94:64:24:0c:37:a1,-82,33
q3-1011,UAB,34:fc:b9:19:80:80,-82,33
q3-1011,eduroam,48:00:20:8f:83:80,-83,31
q3-1011,eduroam,94:64:24:0c:37:a0,-83,31
q3-1011,UAB,48:00:20:8f:83:81,-83,31
q3-1011,eduroam,34:fc:b9:19:80:91,-83,31
q3-1011,UAB,34:fc:b9:19:80:90,-83,31
q3-1011,UAB,34:fc:b9:19:7e:61,-84,29
q3-1011,eduroam,94:64:24:0c:bf:f0,-85,26
q3-1011,eduroam,34:fc:b9:19:85:41,-86,24
q3-1011,UAB,94:64:24:13:d6:e0,-86,24
q3-1011,eduroam,48:00:20:92:6c:d1,-87,22
q3-1011,UAB,94:64:24:13:d6:c0,-87,22
q3-1011,eduroam,94:64:24:14:9b:40,-87,22
q3-1011,UAB,48:00:20:92:6c:d0,-87,22
q3-1011,UAB,34:fc:b9:19:85:50,-87,22
q3-1011,UAB,94:64:24:14:9b:41,-87,22
q3-1011,UAB,34:fc:b9:19:78:71,-87,22
q3-1011,UAB,94:64:24:0c:bf:f1,-88,20
q3-1011,eduroam,34:fc:b9:19:82:c1,-89,18
q3-1011,eduroam,94:64:24:13:d6:e1,-89,18
q3-1011,UAB,48:00:20:94:05:31,-89,18
q3-1011,eduroam,34:fc:b9:19:7c:d0,-89,18
q3-1011,eduroam,94:64:24:0c:c0:10,-89,18
q3-1011,UAB,34:fc:b9:19:7f:71,-89,18
q3-1011,UAB,94:64:24:0c:c0:11,-89,18
q3-1011,UAB,34:fc:b9:19:7c:d1,-90,16
q3-1011,UAB,94:64:24:0d:37:30,-90,16
q3-1011,eduroam,34:fc:b9:19:7f:70,-90,16
q3-1011,UAB,94:64:24:15:dd:30,-91,14
q3-1011,eduroam,34:fc:b9:19:76:d0,-91,14
q3-1011,UAB,94:64:24:16:6a:c1,-91,14
q3-1011,UAB,34:fc:b9:19:76:d1,-91,14
q3-1011,eduroam,48:00:20:94:05:30,-92,13
q3-1011,UAB,94:64:24:0c:11:30,-92,13
q3-1011,eduroam,94:64:24:0c:71:f0,-94,10
q3-1011,eduroam,94:64:24:0d:37:31,-95,8
q3-1011,eduroam,80:8d:b7:0c:99:91,-39,94
q3-1011,eduroam,80:8d:b7:0c:99:81,-40,93
q3-1011,UAB,80:8d:b7:0c:99:80,-40,93
q3-1011,UAB,80:8d:b7:0c:99:90,-45,90
q3-1011,eduroam,94:64:24:0e:83:10,-68,72
q3-1011,UAB,94:64:24:0e:83:11,-71,65
q3-1011,UAB,34:fc:b9:19:78:61,-73,60
q3-1011,UAB,94:64:24:0a:48:d1,-76,50
q3-1011,UAB,34:fc:b9:19:87:81,-76,50
q3-1011,eduroam,34:fc:b9:19:7f:60,-76,50
q3-1011,UAB,34:fc:b9:19:88:01,-77,46
q3-1011,eduroam,34:fc:b9:19:88:00,-78,43
q3-1011,UAB,94:64:24:0a:48:f1,-79,40
q3-1011,eduroam,34:fc:b9:19:80:81,-79,40
q3-1011,eduroam,94:64:24:0a:48:f0,-80,38
q3-1011,eduroam,34:fc:b9:19:88:10,-80,38
q3-1011,eduroam,34:fc:b9:19:7e:00,-81,35
q3-1011,UAB,34:fc:b9:19:88:11,-81,35
q3-1011,UAB,94:64:24:0e:83:31,-81,35
q3-1011,UAB,34:fc:b9:19:85:40,-82,33
q3-1011,UAB,34:fc:b9:19:7e:01,-82,33
q3-1011,UAB,94:64:24:0c:37:a1,-82,33
q3-1011,eduroam,94:64:24:0e:83:30,-82,33
q3-1011,UAB,34:fc:b9:19:80:80,-82,33
q3-1011,eduroam,48:00:20:8f:83:80,-83,31
q3-1011,eduroam,94:64:24:0c:37:a0,-83,31
q3-1011,UAB,48:00:20:8f:83:81,-83,31
q3-1011,eduroam,34:fc:b9:19:80:91,-83,31
q3-1011,UAB,34:fc:b9:19:80:90,-83,31
q3-1011,UAB,34:fc:b9:19:7e:61,-84,29
q3-1011,eduroam,34:fc:b9:19:87:80,-84,29
q3-1011,eduroam,94:64:24:0c:bf:f0,-85,26
q3-1011,eduroam,34:fc:b9:19:85:41,-86,24
q3-1011,UAB,94:64:24:13:d6:e0,-86,24
q3-1011,eduroam,48:00:20:92:6c:d1,-87,22
q3-1011,UAB,94:64:24:13:d6:c0,-87,22
q3-1011,eduroam,94:64:24:14:9b:40,-87,22
q3-1011,UAB,48:00:20:92:6c:d0,-87,22
q3-1011,UAB,34:fc:b9:19:85:50,-87,22
q3-1011,UAB,94:64:24:14:9b:41,-87,22
q3-1011,UAB,34:fc:b9:19:78:71,-87,22
q3-1011,UAB,94:64:24:0c:bf:f1,-88,20
q3-1011,UAB,34:fc:b9:19:7f:61,-88,20
q3-1011,eduroam,34:fc:b9:19:82:c1,-89,18
q3-1011,eduroam,94:64:24:13:d6:e1,-89,18
q3-1011,UAB,48:00:20:94:05:31,-89,18
q3-1011,eduroam,34:fc:b9:19:7c:d0,-89,18
